id	rate
31117	.02
31119	.23
31121	.36
31123	.12
31125	.30
31127	.04
31129	.24
31131	.11
31133	.07
31135	.17
31137	.48
31139	.24
31141	.37
31143	.49
31145	.14
31147	.11
31149	.06
31151	.14
31153	.20
31155	.14
31157	.18
31159	.21
31161	.05
31163	.29
31165	.08
31167	.20
31169	.26
31171	.14
31173	.19
31175	.30
31177	.04
31179	.12
31181	.16
31183	.18
31185	.54
32001	.08
32003	.00
32005	.10
32007	.01
32009	.15
32011	.18
32013	.11
32015	.00
32017	.00
32019	.18
32021	.00
32023	.00
32027	.47
32029	.00
32033	.05
32510	.00
33001	.08
33003	.03
33005	.03
33007	.03
33009	.01
33011	.14
33013	.05
33015	.11
33017	.09
33019	.07
34001	.52
34003	.37
34005	.22
34007	.38
34009	.12
34011	.43
34013	.30
34015	.30
34019	.07
34021	.18
34023	.17
34025	.22
34027	.17
34029	.09
34031	.13
34033	.28
34035	.03
34037	.05
34039	.12
34041	.26
35001	.05
35003	.00
35005	.00
35006	.00
35007	.00
35009	.12
35011	.32
35013	.41
35015	.33
35017	.01
35019	.00
35021	.00
35023	.09
35025	.16
35027	.00
35028	.00
35029	.00
35031	.00
35033	.00
35035	.00
35037	.02
35039	.01
35041	.13
35043	.00
35045	.00
35047	.01
35049	.14
35051	.00
35053	.27
35055	.00
35057	.23
35059	.18
35061	.30
36001	.04
36003	.04
36007	.05
36009	.08
36011	.23
36013	.18
36015	.08
36017	.07
36019	.18
36021	.16
36023	.13
36025	.02
36027	.10
36029	.13
36031	.04
36033	.07
36035	.04
36037	.36
36039	.04
36041	.00
36043	.05
36045	.03
36047	.00
36049	.02
36051	.24
36053	.05
36055	.36
36057	.04
36059	.15
36061	.00
36063	.23
36065	.06
36067	.18
36069	.22
36071	.25
36073	.22
36075	.14
36077	.03
36079	.05
36081	.00
36083	.10
36085	.00
36087	.51
36089	.02
36091	.11
36093	.05
36095	.08
36097	.10
36099	.08
36101	.09
36103	.56
36105	.03
36107	.06
36109	.14
36111	.39
36113	.00
36115	.14
36117	.34
36119	.15
36121	.23
36123	.19
37001	.04
37003	.08
37005	.11
37007	.14
37009	.12
37011	.40
37013	.64
37015	.72
37017	.36
37019	.27
37021	.07
37023	.08
37025	.00
37027	.11
37029	.57
37031	.00
37033	.11
37035	.04
37037	.04
37039	.02
37041	.67
37043	.03
37045	.07
37047	.25
37049	.53
37051	.23
37053	.52
37055	.00
37057	.04
37059	.08
37061	.41
37063	.17
37065	.56
37067	.09
37069	.15
37071	.03
37073	.74
37075	.02
37077	.15
37079	.48
37081	.11
37083	.65
37085	.34
37087	.05
37089	.49
37091	.57
37093	.49
37095	.54
37097	.09
37099	.31
37101	.29
37103	.57
37105	.26
37107	.52
37109	.09
37111	.09
37113	.05
37115	.07
37117	.79
37119	.06
37121	.08
37123	.05
37125	.18
37127	.59
37129	.00
37131	.83
37133	.41
37135	.07
37137	.63
37139	.45
37141	.46
37143	.59
37145	.14
37147	.54
37149	.03
37151	.05
37153	.21
37155	.40
37157	.16
37159	.06
37161	.02
37163	.49
37165	.62
37167	.09
37169	.12
37171	.15
37173	.07
37175	.06
37177	.64
37179	.13
37181	.16
37183	.25
37185	.10
37187	.66
37189	.05
37191	.49
37193	.10
37195	.50
37197	.12
37199	.04
38001	.00
38003	.08
38005	.05
38007	.02
38009	.05
38011	.03
38013	.02
38015	.02
38017	.16
38019	.08
38021	.08
38023	.01
38025	.03
38027	.06
38029	.03
38031	.07
38033	.10
38035	.09
38037	.02
38039	.04
38041	.02
38043	.01
38045	.07
38047	.04
38049	.05
38051	.05
38053	.02
38055	.02
38057	.02
38059	.03
38061	.02
38063	.09
38065	.00
38067	.14
38069	.04
38071	.11
38073	.06
38075	.04
38077	.10
38079	.03
38081	.05
38083	.03
38085	.00
38087	.00
38089	.02
38091	.07
38093	.06
38095	.05
38097	.15
38099	.11
38101	.02
38103	.06
38105	.02
39001	.05
39003	.04
39005	.14
39007	.05
39009	.02
39011	.08
39013	.00
39015	.14
39017	.16
39019	.14
39021	.16
39023	.10
39025	.14
39027	.16
39029	.18
39031	.21
39033	.09
39035	.10
39037	.10
39039	.05
39041	.05
39043	.12
39045	.19
39047	.15
39049	.11
39051	.20
39053	.03
39055	.04
39057	.14
39059	.03
39061	.10
39063	.09
39065	.07
39067	.08
39069	.10
39071	.08
39073	.04
39075	.17
39077	.06
39079	.00
39081	.02
39083	.13
39085	.28
39087	.02
39089	.12
39091	.10
39093	.09
39095	.09
39097	.14
39099	.15
39101	.06
39103	.10
39105	.07
39107	.12
39109	.17
39111	.02
39113	.17
39115	.01
39117	.10
39119	.10
39121	.02
39123	.06
39125	.07
39127	.17
39129	.14
39131	.06
39133	.08
39135	.21
39137	.09
39139	.09
39141	.07
39143	.13
39145	.07
39147	.10
39149	.15
39151	.11
39153	.08
39155	.21
39157	.16
39159	.08
39161	.04
39163	.00
39165	.14
39167	.09
39169	.19
39171	.06
39173	.05
39175	.05
40001	.00
40003	.07
40005	.02
40007	.05
40009	.02
40011	.16
40013	.05
40015	.12
40017	.24
40019	.03
40021	.02
40023	.01
40025	.10
40027	.05
40029	.02
40031	.15
40033	.14
40035	.04
40037	.00
40039	.13
40041	.00
40043	.02
40045	.06
40047	.12
40049	.09
40051	.15
40053	.07
40055	.17
40057	.12
40059	.03
40061	.00
40063	.04
40065	.23
40067	.05
40069	.02
40071	.10
40073	.19
40075	.16
40077	.00
40079	.02
40081	.02
40083	.14
40085	.01
40087	.13
40089	.01
40091	.01
40093	.11
40095	.00
40097	.00
40099	.05
40101	.03
40103	.17
40105	.01
40107	.03
40109	.08
40111	.02
40113	.02
40115	.06
40117	.02
40119	.03
40121	.01
40123	.01
40125	.02
40127	.01
40129	.05
40131	.02
40133	.01
40135	.01
40137	.05
40139	.11
40141	.26
40143	.07
40145	.03
40147	.01
40149	.13
40151	.04
40153	.01
41001	.03
41003	.22
41005	.21
41007	.01
41009	.02
41011	.03
41013	.12
41015	.03
41017	.12
41019	.02
41021	.01
41023	.00
41025	.00
41027	.69
41029	.16
41031	.14
41033	.00
41035	.16
41037	.01
41039	.14
41041	.01
41043	.08
41045	.22
41047	.30
41049	.13
41051	.34
41053	.17
41055	.00
41057	.01
41059	.11
41061	.10
41063	.01
41065	.05
41067	.24
41069	.01
41071	.16
42001	.20
42003	.02
42005	.04
42007	.07
42009	.16
42011	.31
42013	.40
42015	.03
42017	.20
42019	.09
42021	.18
42023	.00
42025	.20
42027	.30
42029	.27
42031	.06
42033	.11
42035	.36
42037	.21
42039	.06
42041	.22
42043	.16
42045	.16
42047	.01
42049	.19
42051	.11
42053	.15
42055	.26
42057	.08
42059	.01
42061	.17
42063	.11
42065	.04
42067	.11
42069	.07
42071	.35
42073	.21
42075	.27
42077	.31
42079	.18
42081	.17
42083	.00
42085	.08
42087	.28
42089	.20
42091	.15
42093	.34
42095	.28
42097	.26
42099	.08
42101	.00
42103	.00
42105	.07
42107	.27
42109	.11
42111	.11
42113	.06
42115	.02
42117	.03
42119	.16
42121	.06
42123	.04
42125	.03
42127	.02
42129	.13
42131	.05
42133	.17
44001	.23
44003	.16
44005	.28
44007	.17
44009	.19
45001	.01
45003	.17
45005	.35
45007	.03
45009	.36
45011	.31
45013	.10
45015	.21
45017	.53
45019	.17
45021	.05
45023	.03
45025	.14
45027	.50
45029	.25
45031	.56
45033	.39
45035	.40
45037	.27
45039	.03
45041	.45
45043	.29
45045	.08
45047	.02
45049	.54
45051	.28
45053	.19
45055	.13
45057	.01
45059	.02
45061	.42
45063	.15
45065	.00
45067	.33
45069	.54
45071	.03
45073	.02
45075	.40
45077	.02
45079	.11
45081	.07
45083	.07
45085	.33
45087	.00
45089	.53
45091	.08
46003	.09
46005	.06
46007	.03
46009	.03
46011	.10
46013	.05
46015	.03
46017	.10
